frame_number,track_id,cy,event
157,5,392,UPDATE
158,0,394,UPDATE
158,3,461,UPDATE
158,5,391,UPDATE
158,6,382,NEW
159,0,391,UPDATE
159,3,462,UPDATE
159,5,391,UPDATE
159,6,383,UPDATE
160,0,388,UPDATE
160,3,462,UPDATE
160,5,390,UPDATE
160,6,388,UPDATE
161,0,385,UPDATE
161,3,463,UPDATE
161,5,389,UPDATE
161,6,388,UPDATE
161,7,399,NEW
162,0,382,UPDATE
162,3,462,UPDATE
162,5,389,UPDATE
162,6,389,UPDATE
162,7,400,UPDATE
163,0,378,UPDATE
163,3,463,UPDATE
163,5,388,UPDATE
163,6,390,UPDATE
163,7,400,UPDATE
164,0,375,UPDATE
164,3,463,UPDATE
164,5,388,UPDATE
164,6,391,UPDATE
164,7,397,UPDATE
165,0,371,UPDATE
165,3,465,UPDATE
165,5,387,UPDATE
165,6,392,UPDATE
165,7,396,UPDATE
166,0,367,UPDATE
166,3,465,UPDATE
166,5,387,UPDATE
166,6,393,UPDATE
166,7,395,UPDATE
167,0,363,UPDATE
167,3,465,UPDATE
167,5,386,UPDATE
167,6,393,UPDATE
167,7,394,UPDATE
168,0,359,UPDATE
168,3,465,UPDATE
168,5,386,UPDATE
168,6,394,UPDATE
168,7,393,UPDATE
169,0,354,UPDATE
169,3,465,UPDATE
169,5,385,UPDATE
169,6,382,UPDATE
169,7,392,UPDATE
170,0,348,UPDATE
170,3,461,UPDATE
170,5,384,UPDATE
170,6,381,UPDATE
170,7,392,UPDATE
171,0,342,UPDATE
171,3,464,UPDATE
171,5,384,UPDATE
171,6,380,UPDATE
171,7,393,UPDATE
172,0,335,UPDATE
172,3,466,UPDATE
172,5,383,UPDATE
172,6,379,UPDATE
172,7,393,UPDATE
173,0,324,UPDATE
173,3,466,UPDATE
173,5,383,UPDATE
173,6,379,UPDATE
173,7,394,UPDATE
174,3,467,UPDATE
174,6,378,UPDATE
174,7,394,UPDATE
175,3,466,UPDATE
175,6,377,UPDATE
175,7,394,UPDATE
176,3,466,UPDATE
176,6,376,UPDATE
176,7,394,UPDATE
177,3,467,UPDATE
177,6,375,UPDATE
177,7,395,UPDATE
178,3,467,UPDATE
178,6,375,UPDATE
178,7,393,UPDATE
179,3,462,UPDATE
179,6,390,UPDATE
179,7,393,UPDATE
180,3,465,UPDATE
180,6,390,UPDATE
180,7,393,UPDATE
181,3,468,UPDATE
181,6,390,UPDATE
181,7,394,UPDATE
181,8,387,NEW
182,3,468,UPDATE
182,6,387,UPDATE
182,7,394,UPDATE
182,8,389,UPDATE
183,3,470,UPDATE
183,6,387,UPDATE
183,7,393,UPDATE
183,8,391,UPDATE
184,3,469,UPDATE
184,6,389,UPDATE
184,7,392,UPDATE
