frame_number,track_id,cx,cy,event
204,0,128,474,UPDATE
204,1,523,469,UPDATE
205,0,127,475,UPDATE
205,1,523,472,UPDATE
206,0,150,476,UPDATE
206,1,523,468,UPDATE
207,0,167,476,UPDATE
207,1,522,468,UPDATE
208,0,180,478,UPDATE
208,1,521,464,UPDATE
209,0,209,478,UPDATE
209,1,521,466,UPDATE
210,0,244,479,UPDATE
210,1,519,467,UPDATE
211,0,240,480,UPDATE
211,1,523,464,UPDATE
212,0,224,481,UPDATE
212,1,526,470,UPDATE
213,0,194,480,UPDATE
213,1,528,471,UPDATE
214,0,134,479,UPDATE
214,1,539,470,UPDATE
215,0,104,479,UPDATE
215,1,545,470,UPDATE
216,0,87,479,UPDATE
216,1,551,469,UPDATE
217,0,70,478,UPDATE
217,1,566,469,UPDATE
218,0,61,477,UPDATE
218,1,577,480,UPDATE
219,0,53,477,UPDATE
219,1,583,480,UPDATE
220,0,44,477,UPDATE
220,1,588,480,UPDATE
221,0,36,476,UPDATE
221,1,594,480,UPDATE
222,0,28,476,UPDATE
222,1,600,480,UPDATE
223,0,20,476,UPDATE
223,1,606,480,UPDATE
224,0,12,475,UPDATE
224,1,612,480,UPDATE
225,0,3,475,UPDATE
225,1,618,480,UPDATE
226,0,-4,475,UPDATE
226,1,623,480,UPDATE
227,0,-12,474,UPDATE
227,1,629,480,UPDATE
228,0,-20,474,UPDATE
228,1,635,480,UPDATE
229,0,-28,474,UPDATE
229,1,641,480,UPDATE
230,0,-37,473,UPDATE
230,1,647,480,UPDATE
231,0,-45,473,UPDATE
231,1,653,480,UPDATE
232,0,-53,473,UPDATE
232,1,658,480,UPDATE
233,0,-61,472,UPDATE
233,1,664,480,UPDATE
322,2,125,516,NEW
323,2,143,516,UPDATE
324,2,151,513,UPDATE
325,2,152,509,UPDATE
326,2,149,505,UPDATE
327,2,138,500,UPDATE
328,2,130,496,UPDATE
329,2,119,492,UPDATE
330,2,110,488,UPDATE
331,2,106,486,UPDATE
332,2,107,485,UPDATE
333,2,109,484,UPDATE
334,2,112,483,UPDATE
334,3,544,474,NEW
335,2,121,485,UPDATE
335,3,547,473,UPDATE
336,2,151,489,UPDATE
336,3,543,477,UPDATE
337,2,169,490,UPDATE
337,3,539,479,UPDATE
338,2,179,489,UPDATE
338,3,532,479,UPDATE
339,2,191,489,UPDATE
339,3,518,480,UPDATE
340,2,198,489,UPDATE
340,3,504,480,UPDATE
341,2,200,489,UPDATE
341,3,495,479,UPDATE
342,2,201,491,UPDATE
342,3,477,480,UPDATE
343,2,200,490,UPDATE
343,3,467,479,UPDATE
344,2,198,490,UPDATE
344,3,446,478,UPDATE
345,2,198,488,UPDATE
345,3,434,478,UPDATE
346,2,197,486,UPDATE
346,3,430,477,UPDATE
347,2,199,485,UPDATE
347,3,415,479,UPDATE
348,2,201,484,UPDATE
348,3,407,479,UPDATE
349,2,202,483,UPDATE
349,3,403,478,UPDATE
350,2,209,483,UPDATE
350,3,396,479,UPDATE
351,2,212,482,UPDATE
351,3,394,478,UPDATE
352,2,215,482,UPDATE
352,3,393,477,UPDATE
353,2,223,481,UPDATE
353,3,390,475,UPDATE
354,2,226,480,UPDATE
354,3,388,473,UPDATE
355,2,228,479,UPDATE
355,3,384,472,UPDATE
356,2,228,478,UPDATE
356,3,382,471,UPDATE
357,2,229,477,UPDATE
357,3,381,470,UPDATE
358,2,229,478,UPDATE
358,3,374,472,UPDATE
359,2,228,478,UPDATE
359,3,370,471,UPDATE
360,2,227,477,UPDATE
360,3,368,470,UPDATE
361,2,225,477,UPDATE
361,3,360,470,UPDATE
362,2,223,476,UPDATE
362,3,355,469,UPDATE
363,2,222,475,UPDATE
363,3,351,469,UPDATE
364,2,219,475,UPDATE
364,3,343,469,UPDATE
365,2,218,474,UPDATE
365,3,338,469,UPDATE
366,2,217,473,UPDATE
366,3,335,470,UPDATE
367,2,217,474,UPDATE
367,3,331,471,UPDATE
368,2,217,474,UPDATE
368,3,329,471,UPDATE
369,2,218,474,UPDATE
369,3,327,460,UPDATE
370,2,219,473,UPDATE
370,3,327,452,UPDATE
371,2,219,472,UPDATE
371,3,327,445,UPDATE
372,2,220,470,UPDATE
372,3,327,452,UPDATE
373,2,219,468,UPDATE
373,3,327,455,UPDATE
374,2,219,467,UPDATE
374,3,326,454,UPDATE
375,2,219,467,UPDATE
375,3,324,453,UPDATE
376,2,217,466,UPDATE
376,3,322,454,UPDATE
377,2,216,465,UPDATE
377,3,318,454,UPDATE
378,2,214,462,UPDATE
378,3,315,452,UPDATE
379,2,212,458,UPDATE
379,3,312,449,UPDATE
380,2,209,453,UPDATE
380,3,306,444,UPDATE
381,2,209,451,UPDATE
381,3,301,441,UPDATE
382,2,208,448,UPDATE
382,3,299,439,UPDATE
383,2,207,444,UPDATE
383,3,293,438,UPDATE
384,2,206,444,UPDATE
384,3,291,439,UPDATE
385,2,207,442,UPDATE
385,3,289,442,UPDATE
386,2,207,441,UPDATE
386,3,289,440,UPDATE
387,2,208,440,UPDATE
387,3,289,434,UPDATE
388,2,208,436,UPDATE
388,3,289,433,UPDATE
389,2,208,432,UPDATE
389,3,289,426,UPDATE
390,2,207,430,UPDATE
390,3,290,422,UPDATE
