frame_number,track_id,cy,event
267,3,455,UPDATE
267,4,338,UPDATE
268,3,459,UPDATE
268,4,339,UPDATE
269,3,464,UPDATE
269,4,340,UPDATE
270,3,466,UPDATE
270,4,342,UPDATE
271,3,469,UPDATE
271,4,342,UPDATE
272,3,471,UPDATE
272,4,344,UPDATE
273,3,473,UPDATE
273,4,343,UPDATE
274,3,476,UPDATE
274,4,342,UPDATE
275,3,475,UPDATE
275,4,343,UPDATE
276,3,478,UPDATE
276,4,348,UPDATE
277,3,479,UPDATE
277,4,353,UPDATE
278,3,480,UPDATE
278,4,355,UPDATE
279,3,480,UPDATE
279,4,359,UPDATE
280,3,479,UPDATE
280,4,363,UPDATE
281,3,480,UPDATE
281,4,366,UPDATE
282,3,480,UPDATE
282,4,366,UPDATE
283,3,481,UPDATE
283,4,368,UPDATE
284,3,481,UPDATE
284,4,369,UPDATE
285,3,480,UPDATE
285,4,369,UPDATE
286,3,479,UPDATE
286,4,373,UPDATE
287,3,479,UPDATE
287,4,376,UPDATE
288,3,480,UPDATE
288,4,380,UPDATE
289,3,480,UPDATE
289,4,383,UPDATE
290,3,480,UPDATE
290,4,385,UPDATE
291,3,480,UPDATE
291,4,387,UPDATE
292,3,480,UPDATE
292,4,388,UPDATE
293,3,480,UPDATE
293,4,389,UPDATE
294,3,479,UPDATE
294,4,390,UPDATE
295,3,479,UPDATE
295,4,395,UPDATE
296,3,479,UPDATE
296,4,398,UPDATE
297,3,480,UPDATE
297,4,406,UPDATE
298,3,480,UPDATE
298,4,411,UPDATE
299,3,480,UPDATE
299,4,414,UPDATE
300,3,478,UPDATE
300,4,417,UPDATE
301,3,478,UPDATE
301,4,419,UPDATE
302,3,477,UPDATE
302,4,420,UPDATE
303,3,476,UPDATE
303,4,421,UPDATE
304,3,476,UPDATE
304,4,422,UPDATE
305,3,476,UPDATE
305,4,426,UPDATE
306,3,476,UPDATE
306,4,433,UPDATE
307,3,476,UPDATE
307,4,443,UPDATE
308,3,476,UPDATE
308,4,450,UPDATE
309,3,476,UPDATE
309,4,454,UPDATE
310,3,475,UPDATE
310,4,457,UPDATE
311,3,475,UPDATE
311,4,458,UPDATE
312,3,475,UPDATE
312,4,459,UPDATE
313,3,475,UPDATE
313,4,466,UPDATE
314,3,475,UPDATE
314,4,472,UPDATE
315,3,474,UPDATE
315,4,475,UPDATE
316,3,474,UPDATE
316,4,477,UPDATE
317,3,474,UPDATE
317,4,478,UPDATE
318,3,474,UPDATE
318,4,478,UPDATE
319,3,473,UPDATE
319,4,477,UPDATE
320,3,473,UPDATE
320,4,477,UPDATE
321,4,478,UPDATE
322,4,478,UPDATE
323,4,478,UPDATE
324,4,479,UPDATE
325,4,479,UPDATE
326,4,479,UPDATE
327,4,477,UPDATE
328,4,478,UPDATE
329,4,478,UPDATE
330,4,476,UPDATE
331,4,476,UPDATE
332,4,477,UPDATE
333,4,477,UPDATE
334,4,477,UPDATE
335,4,476,UPDATE
336,4,476,UPDATE
337,4,477,UPDATE
338,4,477,UPDATE
339,4,475,UPDATE
340,4,476,UPDATE
341,4,474,UPDATE
342,4,474,UPDATE
343,4,475,UPDATE
344,4,475,UPDATE
345,4,476,UPDATE
346,4,477,UPDATE
347,4,478,UPDATE
348,4,478,UPDATE
349,4,479,UPDATE
350,4,479,UPDATE
351,4,479,UPDATE
352,4,479,UPDATE
353,4,479,UPDATE
354,4,480,UPDATE
355,4,480,UPDATE
356,4,480,UPDATE
357,4,480,UPDATE
358,4,480,UPDATE
359,4,481,UPDATE
360,4,481,UPDATE
361,4,482,UPDATE
362,4,481,UPDATE
363,4,489,UPDATE
364,4,490,UPDATE
365,4,491,UPDATE
366,4,491,UPDATE
367,4,493,UPDATE
368,4,495,UPDATE
369,4,497,UPDATE
370,4,499,UPDATE
371,4,502,UPDATE
372,4,504,UPDATE
373,4,506,UPDATE
374,4,508,UPDATE
375,4,510,UPDATE
376,4,512,UPDATE
377,4,514,UPDATE
378,4,517,UPDATE
379,4,519,UPDATE
380,4,521,UPDATE
381,4,523,UPDATE
